Product Name,Asset ID,GLB Link,Status,Status Code,Error,Response Time (ms)
"Ray-Ban - RB8063 9207P1 5516",59de85a5-b821-4187-97cb-7fadfd2798c1,"https://synsam.b-cdn.net/KTX/84186.glb",success,200,"",160
"Ray-Ban Clubmaster - RB3016 133671 5121",9d892f8b-1d97-4a2d-876c-76b271d03f76,"https://synsam.b-cdn.net/KTX/84288.glb",success,200,"",158
"Ray-Ban Meteor - RB2168 133451 5020",46e243e5-42ff-475d-a28d-34e3b772693a,"https://synsam.b-cdn.net/KTX/84284.glb",success,200,"",173
"Ray-Ban Thalia - 0RB2195 902/31 5518",17944457-5258-4b6f-8810-592a66da6522,"https://synsam.b-cdn.net/KTX/84231.glb",success,200,"",174
"Ray-Ban Vagabond - RB4355 6549GE 5815",dc64e441-99d4-49b6-8ab8-b8235d6e20a1,"https://synsam.b-cdn.net/KTX/83859.glb",success,200,"",174
"Ray-Ban Thalia - 0RB2195 1328GD 5318",e3b6c59f-6584-4bed-88b6-f56c4b926f86,"https://synsam.b-cdn.net/KTX/84195.glb",success,200,"",155
"Ray-Ban Wayfarer II - RB2185 13323F 5218",6dca23ac-715b-4309-a399-02b1e7bf18b7,"https://synsam.b-cdn.net/KTX/84260.glb",success,200,"",160
"Ray-Ban - 0RB3548 001/3F 5121",b1eccd59-f4f9-489f-b82c-f61fe26787a1,"https://synsam.b-cdn.net/KTX/84252.glb",success,200,"",154
"Ray-Ban State Side - RB4356 6546W3 5817",b3df2ac2-b960-4d39-87e8-6b611b1daddd,"https://synsam.b-cdn.net/KTX/84206.glb",success,200,"",170
"Gucci - GG0752O 002 5616",fa2bf32e-f92d-4c7d-82a5-a13277fb31b6,"https://synsam.b-cdn.net/KTX/81977.glb",success,200,"",170
"Ray-Ban Clubmaster - RB3016 133671 4921",9f1cfd22-d78e-4436-bfe2-da5a564fd842,"https://synsam.b-cdn.net/KTX/84287.glb",success,200,"",168
"Ray-Ban - RB8064 9205P1 5317",239c8210-7de8-4c39-ad0a-7efb51f3d81e,"https://synsam.b-cdn.net/KTX/84189.glb",success,200,"",169
"Ray-Ban Aviator Large Metal - 0RB3025 9223BL 5814",a966a5df-8022-4bff-a274-fbbaa4a7e159,"https://synsam.b-cdn.net/KTX/84270.glb",success,200,"",169
"Ray-Ban - 0RB3548 001/3F 4821",4081cbb8-5c30-47c9-9dec-c845f973a709,"https://synsam.b-cdn.net/KTX/84251.glb",success,200,"",170
"Ray-Ban Aviator Large Metal - 0RB3025 9221T2 5814",f894a99c-7470-4b7f-8164-dab18cb8d3cc,"https://synsam.b-cdn.net/KTX/84276.glb",success,200,"",152
"Ray-Ban Aviator Large Metal - 0RB3025 9224T5 6214",278e450a-f311-437a-a9c5-c6473e1d8d64,"https://synsam.b-cdn.net/KTX/84268.glb",success,200,"",170
"Ray-Ban Orion - RB2199 13323F 5222",1359023d-6be9-4dbe-97d0-17f7ce62e015,"https://synsam.b-cdn.net/KTX/84246.glb",success,200,"",155
"Persol - PO9649S 1130B1 5518",a530129c-bf5e-4b6a-b236-79f01d8835df,"https://synsam.b-cdn.net/KTX/84092.glb",success,200,"",171
"Ray-Ban Aviator Large Metal - 0RB3025 9223BL 5514",83d937a2-79ea-4473-be03-59ff65b70813,"https://synsam.b-cdn.net/KTX/84272.glb",success,200,"",171
